submission_id,dataset_id,collection_id,collection_title,pi_list
11950,11066,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
12026,11148,2274,Bipolar & Schizophrenia Consortium for Parsing Intermediate Phenotypes (B-SNIP 1),Carol Tamminga
12369,11655,2393,Fear extinction and sleep across the spectrum of severity in post-traumatic hyperarousal,Edward Pace-Schott
12553,11852,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
12694,11997,2565,Anxiety and reward interaction and prediction of outcomes in anorexia nervosa,Jamie Feusner
12888,12323,2521,"Computational, Neural, and Behavioral Studies of Competition-Dependent Learning",Kenneth Norman
13158,12618,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13161,12621,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13164,12624,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13203,12663,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13212,12672,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13393,12858,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13499,12970,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
13561,13040,2417,The Neurobiology of Social Decision-Making,Ralph Adolphs
14773,14558,2098,2/3-Social Processes Initiative in Neurobiology of the Schizophrenia(s),"Anil K Malhotra, Aristotle Voineskos and Robert W. Buchanan"
14803,14589,2102,A Multidimensional Investigation of Cognitive Control Deficits in Psychopathology,Andrew Robert Mayer
14815,14601,2342,Cognitive and Neural Flexibility in Autism,Lucina Qazi Uddin
14818,14605,2582,Developing Neuronal KCNQ Channel Modulators for Mood Disorders,James Murrough
14927,14720,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
15179,14984,2336,Children of Bipolar Parents: A High Risk Follow Up Study (also known as Bipolar Offspring Study - BIOS),Boris Birmaher
15187,14993,2716,The Role of Caregiver Social Processes on Neural and Endocrine Function in Infants,Ian Gotlib
15324,15186,2594,Development of Attention Bias Modification for Depression,Christopher Beevers
15915,15972,2737,Imaging-guided tDCS therapy in major depression,Katherine Narr
16062,16127,2701,Ovarian Effects on Intrinsic Connectivity and the Affective Enhancement of Memory,Lisa Barrett
16069,16136,2851,1/5 to 5/5 Neurocognitive and neuroimaging biomarkers: predicting progression towards dementia in patients with treatment-resistant late-life depression,Aristotle Voineskos
16452,16541,2955,1/3 Brain Function and Genetics in Pediatric Obsessive-Compulsive Behaviors,David Rosenberg
16534,16629,2834,Neuronal Correlates of Autistic Traits in ADHD and Autism,Adriana Di Martino
16630,16732,2611,Brain-to-brain dynamical Coupling: A New framework for the communication of social knowledge,Uri Hasson
16696,16813,2936,NIMH-IRP Data Science and Sharing Team,"John Lee, Dylan Nielson, Adam Thomas"
16810,16930,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
16944,17070,2687,Neural dynamics supporting integration and recall over long timescales during natural continuous input,Uri Hasson
17142,17523,2528,Optimized dosing of repetitive transcranial magnetic stimulation for enhancement of hippocampal-cortical networks,Joel Voss
17344,17740,1890,Fetal Programming of the Newborn and Infant Human Brain,Claudia Buss and Pathik D. Wadhwa
17638,18060,2594,Development of Attention Bias Modification for Depression,Christopher Beevers
17640,18062,2432,Modulation of ventrolateral prefrontal cortical activity during reward processing by transcranial direct current stimulation,Mary Phillips
17745,18175,2266,Inhibitory dysfunction in autism,Scott Murray
17808,18240,2979,Interaction of sleep disturbance and anxiety symptoms in the neural and psychophysiological responses to fear conditioning and extinction in Generalized Anxiety Disorder,Edward Paceschott
18080,18595,2297,Acute Neurocognitive-affective Predictors of Chronic Post-trauma Outcomes,Christine Larson
18658,19214,2494,Functional Anatomic Studies of Self-Affect:  A Multimodal Approach,James V. Haxby
19367,19971,2692,The New Tics Study: A Novel Approach to Pathophysiology and Cause of Tic Disorders,Kevin Black
21264,22197,2528,Optimized dosing of repetitive transcranial magnetic stimulation for enhancement of hippocampal-cortical networks,Joel Voss
21390,22331,2641,Investigating a Neurobehavioral Mechanism of Paranoia,Amy Pinkham
22186,23176,2716,The Role of Caregiver Social Processes on Neural and Endocrine Function in Infants,Ian Gotlib
22347,23348,2098,2/3-Social Processes Initiative in Neurobiology of the Schizophrenia(s),"Anil K Malhotra, Aristotle Voineskos and Robert W. Buchanan"
22518,23529,2916,Trajectories of treatment response as window into the heterogeneity of psychosis: a longitudinal multimodal imaging study in medication-naieve first episode psychosis patients,Adrienne Lahti
22618,23631,2916,Trajectories of treatment response as window into the heterogeneity of psychosis: a longitudinal multimodal imaging study in medication-naieve first episode psychosis patients,Adrienne Lahti
22677,23692,2994,Towards Multisystem-Brain Successful Aging in Schizophrenia Spectrum,Lelliot Hong
22809,23831,2483,Sensory-learning deficits and conversion to psychosis among individuals at clinical high-risk: a longitudinal model-based fMRI study,Ragy Girgis
23102,24133,2690,Integration of Neural Networks and Attachment in Human Infants,Nancy Mcelwain
23438,24505,2521,"Computational, Neural, and Behavioral Studies of Competition-Dependent Learning",Kenneth Norman
24702,25921,2916,Trajectories of treatment response as window into the heterogeneity of psychosis: a longitudinal multimodal imaging study in medication-naieve first episode psychosis patients,Adrienne Lahti
24722,25942,2916,Trajectories of treatment response as window into the heterogeneity of psychosis: a longitudinal multimodal imaging study in medication-naieve first episode psychosis patients,Adrienne Lahti
24938,26396,2862,FAST-PS Biomarker assessment of pomaglumetad on glutamate targets: proof of clinical mechanism of action (POCM),Jeffrey Lieberman
26620,28098,2494,Functional Anatomic Studies of Self-Affect:  A Multimodal Approach,James V. Haxby
27074,28586,2690,Integration of Neural Networks and Attachment in Human Infants,Nancy Mcelwain
31374,32934,2594,Development of Attention Bias Modification for Depression,Christopher Beevers
9294,8030,1890,Fetal Programming of the Newborn and Infant Human Brain,Claudia Buss and Pathik D. Wadhwa
10842,9711,2026,Biomarkers of Developmental Trajectories and Treatment in ASD,Susan Bookheimer
10916,9786,2075,Mapping Thalamocortical Networks Across Development in ASD,Carissa Cascio
11090,10060,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
11100,10070,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
11308,10294,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
11311,10297,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
11775,10880,2026,Biomarkers of Developmental Trajectories and Treatment in ASD,Susan Bookheimer
12015,11134,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
12206,11477,2292,Molecular Mechanisms of Atypical Habituation in Autism Spectrum Disorders,Natalia Kleinhans
12207,11478,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
12265,11538,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
12775,12088,2565,Anxiety and reward interaction and prediction of outcomes in anorexia nervosa,Jamie Feusner
13144,12604,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13145,12605,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13163,12623,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13207,12667,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13384,12849,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13386,12851,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13611,13096,2528,Optimized dosing of repetitive transcranial magnetic stimulation for enhancement of hippocampal-cortical networks,Joel Voss
13629,13115,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
13653,13140,2098,2/3-Social Processes Initiative in Neurobiology of the Schizophrenia(s),"Anil K Malhotra, Aristotle Voineskos and Robert W. Buchanan"
13691,13182,2432,Modulation of ventrolateral prefrontal cortical activity during reward processing by transcranial direct current stimulation,Mary Phillips
14523,14291,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
14748,14530,2266,Inhibitory dysfunction in autism,Scott Murray
15007,14802,2701,Ovarian Effects on Intrinsic Connectivity and the Affective Enhancement of Memory,Lisa Barrett
15600,15637,2687,Neural dynamics supporting integration and recall over long timescales during natural continuous input,Uri Hasson
15853,15908,2494,Functional Anatomic Studies of Self-Affect:  A Multimodal Approach,James V. Haxby
15899,15956,2433,Targeting Dopaminergic Mechanisms of Slowing to Improve Late Life Depression,Bret Rutherford
16114,16183,2432,Modulation of ventrolateral prefrontal cortical activity during reward processing by transcranial direct current stimulation,Mary Phillips
16207,16285,2098,2/3-Social Processes Initiative in Neurobiology of the Schizophrenia(s),"Anil K Malhotra, Aristotle Voineskos and Robert W. Buchanan"
16517,16612,2521,"Computational, Neural, and Behavioral Studies of Competition-Dependent Learning",Kenneth Norman
16581,16680,2476,Prefrontal Cortical Engagement and Clinical Effects of non-invasive Direct Current Stimulation for Cognitive Control Impairments in Schizophrenia,Raymond Cho
16945,17071,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
16948,17074,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
18179,18699,2402,Whole Brain Functional Connectivity Measures of Attention,Marvin Chun
18660,19216,2494,Functional Anatomic Studies of Self-Affect:  A Multimodal Approach,James V. Haxby
21243,22006,2528,Optimized dosing of repetitive transcranial magnetic stimulation for enhancement of hippocampal-cortical networks,Joel Voss
21824,22781,2908,"The contribution of aberrant anticipatory processing to spectrum depression and mania, and cognitive and emotional dysfunction in major depressive and bipolar disorders",Anna Manelis
21834,22791,2590,Using complex video stimuli to elucidate atypical brain functioning in ASD,Daniel Kennedy
22042,23018,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
22450,23457,2979,Interaction of sleep disturbance and anxiety symptoms in the neural and psychophysiological responses to fear conditioning and extinction in Generalized Anxiety Disorder,Edward Paceschott
22814,23836,2483,Sensory-learning deficits and conversion to psychosis among individuals at clinical high-risk: a longitudinal model-based fMRI study,Ragy Girgis
22817,23839,2483,Sensory-learning deficits and conversion to psychosis among individuals at clinical high-risk: a longitudinal model-based fMRI study,Ragy Girgis
22987,24010,2687,Neural dynamics supporting integration and recall over long timescales during natural continuous input,Uri Hasson
26458,27933,3130,The SenDep Study: Linking Molecular Senescence Changes to Depression and Cognitive Impairment in Late Life,Breno Diniz
26971,28477,2916,Trajectories of treatment response as window into the heterogeneity of psychosis: a longitudinal multimodal imaging study in medication-naieve first episode psychosis patients,Adrienne Lahti
27329,28859,2979,Interaction of sleep disturbance and anxiety symptoms in the neural and psychophysiological responses to fear conditioning and extinction in Generalized Anxiety Disorder,Edward Paceschott
28102,29642,2643,The Neurobiology of Social Decision-Making: Social Inference and Context,Ralph Adolphs
29257,30802,2956,CEREBELLUM AND AUTISM: NEURAL MECHANISMS AND MODULATION OF PREDICTIVE PROCESSING,Catherine Stoodley
35229,37463,3369,Kynurenic Acid and Cognitive Abnormalities in Schizophrenia,Robert Schwarcz
35431,37670,3166,"Silvio O. Conte Center for Stress Peptide Advanced Research, Education, & Dissemination (SPARED) at McLean Hospital",William Carlezon
10082,8823,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
10732,9587,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
10999,9875,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
11013,9890,2155,Multimodal Treatment Study of Children With ADHD,"Howard Abikoff, Ph.D., L. Eugene Arnold, M.D., Claudia Buss, Ph.D., C. Keith Conners, Ph.D., Glen Elliott, M.D., Jeffery Epstein, Ph.D., Drew Erhardt, PhD, Karen Fleis, Psy.D., Laurence L. Greenhill, M.D., Jeffrey Halperin, Ph.D., Lily Hechtman, M.D., Stephen Hinshaw, Ph.D., Kimberly Hoagwood, Ph.D., Betsy Hoza, Ph.D., Peter Jensen, M.D., John March, MD, Daniel Mathalon, M.D., Ph.D. , Keith McBurnett, Ph.D., Brooke Molina, Ph.D., Desiree Murray, Ph.D., Jeffrey Newcorn, M.D., Elizabeth Owens, Ph.D., William Pelham, Jr., Ph.D., Bradley Peterson, M.D, Linda Pfiffner, Ph.D., Steven Potkin, M.D., Allen Song, Ph.D., James M. Swanson, Ph.D., Leanne Tamm, Ph.D., Katerina Velanova, Ph.D., Benedetto Vitiello, MD, Alan Vitolo, Ph.D., Karen Wells, Ph.D., & Timothy Wigal, PhD"
11088,10058,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
11318,10304,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
11360,10346,2022,The Social Brain in Schizophrenia and Autism Spectrum Disorders,Michal Assaf
11382,10368,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
11532,10612,2126,Psychosis and Affective Research Domains and Intermediate Phenotypes (PARDIP),Carol Tamminga
11812,10922,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
11931,11045,2417,The Neurobiology of Social Decision-Making,Ralph Adolphs
12038,11161,2274,Bipolar & Schizophrenia Consortium for Parsing Intermediate Phenotypes (B-SNIP 1),Carol Tamminga
12039,11162,2274,Bipolar & Schizophrenia Consortium for Parsing Intermediate Phenotypes (B-SNIP 1),Carol Tamminga
12209,11480,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
12246,11518,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
12266,11540,2286,FMRI and EEG approaches to the resting state in ASD,Ralph-Axel Mueller and Thomas T. Liu
12383,11671,2338,Multimodal Imaging of Early Neural Signature in Autism Spectrum Disorder,Inna Fishman
12474,11773,2126,Psychosis and Affective Research Domains and Intermediate Phenotypes (PARDIP),Carol Tamminga
12960,12405,2417,The Neurobiology of Social Decision-Making,Ralph Adolphs
12968,12413,2417,The Neurobiology of Social Decision-Making,Ralph Adolphs
13139,12599,2266,Inhibitory dysfunction in autism,Scott Murray
13200,12660,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13205,12665,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13215,12675,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13223,12683,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13508,12980,2286,FMRI and EEG approaches to the resting state in ASD,Ralph-Axel Mueller and Thomas T. Liu
13674,13164,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
14691,14470,2716,The Role of Caregiver Social Processes on Neural and Endocrine Function in Infants,Ian Gotlib
15274,15110,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
15275,15111,2102,A Multidimensional Investigation of Cognitive Control Deficits in Psychopathology,Andrew Robert Mayer
15301,15142,2521,"Computational, Neural, and Behavioral Studies of Competition-Dependent Learning",Kenneth Norman
15313,15170,2594,Development of Attention Bias Modification for Depression,Christopher Beevers
15663,15705,2594,Development of Attention Bias Modification for Depression,Christopher Beevers
15976,16037,2737,Imaging-guided tDCS therapy in major depression,Katherine Narr
16613,16715,2611,Brain-to-brain dynamical Coupling: A New framework for the communication of social knowledge,Uri Hasson
16811,16931,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
16873,16994,2881,The structure and dynamics of mental state representations,Diana Tamir
17047,17178,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
17774,18204,2594,Development of Attention Bias Modification for Depression,Christopher Beevers
17965,18412,2590,Using complex video stimuli to elucidate atypical brain functioning in ASD,Daniel Kennedy
18124,18640,2809,Brain plasticity underlying acquisition of new organizational skills in children,Francisco Castellanos
18226,18750,2433,Targeting Dopaminergic Mechanisms of Slowing to Improve Late Life Depression,Bret Rutherford
18519,19067,2699,Investigating the Neural Basis of Flexible Emotion Perception,Jonathan Freeman
18693,19250,2098,2/3-Social Processes Initiative in Neurobiology of the Schizophrenia(s),"Anil K Malhotra, Aristotle Voineskos and Robert W. Buchanan"
18963,19538,2715,Remote Modulation of Reward Circuits with Noninvasive Brain Stimulation,David V. Smith
19371,19975,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
19374,19978,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
21251,22184,2528,Optimized dosing of repetitive transcranial magnetic stimulation for enhancement of hippocampal-cortical networks,Joel Voss
21254,22187,2528,Optimized dosing of repetitive transcranial magnetic stimulation for enhancement of hippocampal-cortical networks,Joel Voss
21263,22196,2528,Optimized dosing of repetitive transcranial magnetic stimulation for enhancement of hippocampal-cortical networks,Joel Voss
21407,22351,2338,Multimodal Imaging of Early Neural Signature in Autism Spectrum Disorder,Inna Fishman
21788,22737,2590,Using complex video stimuli to elucidate atypical brain functioning in ASD,Daniel Kennedy
21833,22790,2590,Using complex video stimuli to elucidate atypical brain functioning in ASD,Daniel Kennedy
22084,23064,2895,Neural Circuitry of Valence Flexibility across Development,Jennifer Britton
22684,23699,2994,Towards Multisystem-Brain Successful Aging in Schizophrenia Spectrum,Lelliot Hong
22808,23830,2483,Sensory-learning deficits and conversion to psychosis among individuals at clinical high-risk: a longitudinal model-based fMRI study,Ragy Girgis
22944,23967,2025,Minimally Verbal ASD: From Basic Mechanisms to Innovative Interventions,Helen Tager-Flusberg
23017,24042,2342,Cognitive and Neural Flexibility in Autism,Lucina Qazi Uddin
23081,24110,2715,Remote Modulation of Reward Circuits with Noninvasive Brain Stimulation,David V. Smith
24431,25503,2737,Imaging-guided tDCS therapy in major depression,Katherine Narr
24721,25941,2916,Trajectories of treatment response as window into the heterogeneity of psychosis: a longitudinal multimodal imaging study in medication-naieve first episode psychosis patients,Adrienne Lahti
26325,27793,2582,Developing Neuronal KCNQ Channel Modulators for Mood Disorders,James Murrough
